season,team_name_bet,opp_team_name_bet,team_goals,opp_team_goals,Bet365_win_odds,Bet365_draw_odds,Bet365_lose_odds,bet_merge_code
20222023,Tottenham,West Ham,2.0,0.0,1.75,3.6,4.75,20222023_17_9_Home
20222023,Fulham,Wolves,1.0,1.0,2.5,3.2,3.0,20222023_18_8_Home
20222023,Everton,Aston Villa,0.0,2.0,2.5,3.2,3.0,20222023_5_20_Home
20222023,Leeds,Southampton,1.0,0.0,1.95,3.5,4.0,20222023_10_7_Home
20222023,Leicester,Arsenal,0.0,1.0,4.75,4.0,1.7,20222023_6_11_Home
20222023,West Ham,Nott'm Forest,4.0,0.0,1.75,3.6,5.0,20222023_9_25_Home
20222023,Bournemouth,Man City,1.0,4.0,10.0,5.75,1.29,20222023_24_4_Home
20222023,Crystal Palace,Liverpool,0.0,0.0,4.75,3.8,1.73,20222023_16_3_Home
20222023,Tottenham,Chelsea,2.0,0.0,2.55,3.25,2.9,20222023_17_1_Home
20222023,Arsenal,Everton,4.0,0.0,1.36,4.75,10.0,20222023_11_5_Home
20222023,Liverpool,Wolves,2.0,0.0,1.5,4.75,6.0,20222023_3_8_Home
20222023,Man City,Newcastle,2.0,0.0,1.45,4.5,7.0,20222023_4_15_Home
20222023,Arsenal,Bournemouth,3.0,2.0,1.22,7.0,12.0,20222023_11_24_Home
20222023,Aston Villa,Crystal Palace,1.0,0.0,2.05,3.3,3.8,20222023_20_16_Home
20222023,Brighton,West Ham,4.0,0.0,1.8,3.6,4.5,20222023_19_9_Home
20222023,Chelsea,Leeds,1.0,0.0,1.62,4.0,5.5,20222023_1_10_Home
20222023,Wolves,Tottenham,1.0,0.0,3.3,3.4,2.2,20222023_8_17_Home
20222023,Southampton,Leicester,1.0,0.0,2.75,3.3,2.6,20222023_7_6_Home
20222023,Nott'm Forest,Everton,2.0,2.0,2.7,3.0,2.88,20222023_25_5_Home
20222023,Liverpool,Man United,7.0,0.0,2.38,3.6,2.88,20222023_3_14_Home
20222023,Brentford,Fulham,3.0,2.0,1.95,3.6,3.75,20222023_21_18_Home
20222023,Bournemouth,Liverpool,1.0,0.0,7.5,5.0,1.4,20222023_24_3_Home
20222023,Everton,Brentford,1.0,0.0,2.7,3.25,2.7,20222023_5_21_Home
20222023,Leeds,Brighton,2.0,2.0,3.75,3.6,1.95,20222023_10_19_Home
20222023,Leicester,Chelsea,1.0,3.0,3.75,3.5,1.95,20222023_6_1_Home
20222023,Tottenham,Nott'm Forest,3.0,1.0,1.44,4.75,7.0,20222023_17_25_Home
20222023,Crystal Palace,Man City,0.0,1.0,9.0,4.75,1.36,20222023_16_4_Home
20222023,Fulham,Arsenal,0.0,3.0,6.0,4.0,1.57,20222023_18_11_Home
20222023,Man United,Southampton,0.0,0.0,1.36,5.0,9.0,20222023_14_7_Home
20222023,West Ham,Aston Villa,1.0,1.0,2.2,3.3,3.4,20222023_9_20_Home
20222023,Newcastle,Wolves,2.0,1.0,1.65,3.75,5.5,20222023_15_8_Home
20222023,Brighton,Crystal Palace,1.0,0.0,1.44,4.2,8.0,20222023_19_16_Home
20222023,Southampton,Brentford,0.0,2.0,2.88,3.25,2.5,20222023_7_21_Home
20222023,Nott'm Forest,Newcastle,1.0,2.0,5.5,3.8,1.62,20222023_25_15_Home
20222023,Aston Villa,Bournemouth,3.0,0.0,1.7,3.8,5.0,20222023_20_24_Home
20222023,Brentford,Leicester,1.0,1.0,1.91,3.6,3.75,20222023_21_6_Home
20222023,Southampton,Tottenham,3.0,3.0,4.75,3.6,1.75,20222023_7_17_Home
20222023,Wolves,Leeds,2.0,4.0,2.25,3.2,3.3,20222023_8_10_Home
20222023,Chelsea,Everton,2.0,2.0,1.5,4.2,7.5,20222023_1_5_Home
20222023,Arsenal,Crystal Palace,4.0,1.0,1.25,5.5,15.0,20222023_11_16_Home
20222023,Man City,Liverpool,4.0,1.0,1.62,4.2,5.0,20222023_4_3_Home
20222023,Arsenal,Leeds,4.0,1.0,1.29,6.0,9.0,20222023_11_10_Home
20222023,Bournemouth,Fulham,2.0,1.0,2.55,3.3,2.8,20222023_24_18_Home
20222023,Brighton,Brentford,3.0,3.0,1.67,4.0,5.0,20222023_19_21_Home
20222023,Crystal Palace,Leicester,2.0,1.0,2.5,3.25,2.9,20222023_16_6_Home
20222023,Nott'm Forest,Wolves,1.0,1.0,3.0,3.1,2.55,20222023_25_8_Home
20222023,Chelsea,Aston Villa,0.0,2.0,1.67,3.8,5.25,20222023_1_20_Home
20222023,West Ham,Southampton,1.0,0.0,1.73,3.6,5.0,20222023_9_7_Home
20222023,Newcastle,Man United,2.0,0.0,2.4,3.4,2.9,20222023_15_14_Home
20222023,Everton,Tottenham,1.0,1.0,3.4,3.3,2.2,20222023_5_17_Home
20222023,Bournemouth,Brighton,0.0,2.0,6.0,4.2,1.53,20222023_24_19_Home
20222023,Leeds,Nott'm Forest,2.0,1.0,1.7,3.75,5.0,20222023_10_25_Home
20222023,Leicester,Aston Villa,1.0,2.0,2.55,3.3,2.75,20222023_6_20_Home
20222023,Chelsea,Liverpool,0.0,0.0,2.2,3.4,3.25,20222023_1_3_Home
20222023,Man United,Brentford,1.0,0.0,1.65,4.0,5.0,20222023_14_21_Home
20222023,West Ham,Newcastle,1.0,5.0,3.6,3.25,2.15,20222023_9_15_Home
20222023,Man United,Everton,2.0,0.0,1.5,4.33,6.5,20222023_14_5_Home
20222023,Aston Villa,Nott'm Forest,2.0,0.0,1.6,4.2,5.25,20222023_20_25_Home
20222023,Brentford,Newcastle,1.0,2.0,3.6,3.4,2.05,20222023_21_15_Home
20222023,Fulham,West Ham,0.0,1.0,2.8,3.25,2.63,20222023_18_9_Home
20222023,Leicester,Bournemouth,0.0,1.0,1.83,3.75,4.2,20222023_6_24_Home
20222023,Tottenham,Brighton,2.0,1.0,2.55,3.5,2.7,20222023_17_19_Home
